Symbol,EntryDate,EntryPrice,Quantity,Rank,Score,System,TrackType
HFCL,2026-06-24,204.77,48,1,116.3105,5-position,Paper
SYRMA,2026-06-24,1424.7,7,2,102.7926,5-position,Paper
WELCORP,2026-06-24,1406.0,7,3,87.2433,5-position,Paper
CPPLUS,2026-06-24,3617.6,2,4,85.5896,5-position,Paper
RRKABEL,2026-06-24,2438.0,4,5,73.7235,5-position,Paper
